catid,category
203,stylus pens
274,bar code readers
303,fax machines
316,calculators
445,staplers
461,markers
485,clipboards
907,paper shredders
977,cable locks
989,processors
1050,photo albums
1069,whiteboards
1255,cups & mugs
1319,fryers
1406,juice makers
1421,binoculars
1424,sandwich makers
1426,kitchen scales
1527,epilators
1672,pressure cookers
1678,door intercom systems
1696,humidifiers
1733,guitars
1736,slicers
1749,lawn mowers
1776,multimeters
1841,table clocks
1872,handheld vacuums
1894,audio amplifiers
1943,trash cans
1982,baby car seats
1983,strollers
2047,graters
2165,sport rackets
2328,pliers
2390,electrical switches
2514,dolls
2637,teapots
2640,jars
2775,e-book reader cases
